Deutsch,English
die,the
und,and
der,the
in,in
das,the
den,the
zu,to
mit,with
ist,is
von,from
f�r,for
auf,on
nicht,Not
es,it
ein,on
im,in the
auch,also
sich,yourself
ich,I
sie,they
eine,one
dem,to the
des,of
an,on
als,as
werden,become
bei,at
sind,are
dass,that
so,so
oder,or
aus,the end
wir,weather
aber,but
wird,will
nach,to
man,man
er,he
hat,Has
noch,still
einen,a
nur,only
um,around
am,at the
einer,one
zum,to the
kann,can
einem,one
�ber,about
war,was
wenn,if
haben,to have
dann,then
vor,in front
zur,to the
mehr,more
was,What
diese,this
da,there
k�nnen,be able
schon,nice
sein,being
bis,until
sehr,very
wieder,again
immer,always
uns,US
ihr,her
mir,to me
mal,just
ihre,her
alle,Everyone
dieser,this
gibt,are
vom,from the
mich,me
unter,among
du,you
ja,Yes
keine,no
gut,Good
damit,in order to
hatte,had
ganz,quite
beim,at the
eines,one
denn,then
muss,got to
nun,well
Zeit,Time
seine,his
jetzt,now
etwas,some
gegen,against
dabei,included
also,so
viel,a lot of
diesem,this
ab,away
viele,lots
zwei,two
anderen,others
ohne,without
selbst,even
alles,everything
sowie,as
Menschen,People
waren,were
seit,since
einfach,simple
geht,goes
Jahr,year
dieses,this
heute,today
sondern,Then what
neue,new
wurden,became
Jahren,Years
bereits,already
machen,make
sollte,should
ob,if
weil,because
soll,target
ihrer,of their
ihren,your
dazu,to
dies,this
ersten,first
zwischen,in between
ihnen,them
bin,am
lassen,to let
andere,other
meine,my
seiner,his
Jahre,years
unsere,our
leben,Life
wer,who
weiter,further
kommt,comes
m�ssen,have to
einmal,once
wo,Where
dort,there
erst,first
kein,no
nat�rlich,Naturally
ihn,him
diesen,this
jedoch,However
konnte,could
ihm,him
drei,three
seinen,his
will,want
nichts,Nothing
uhr,clock
macht,power
allem,everything
sei,be
wirklich,really
ins,into the
steht,stands
kommen,come
da�,that
gerade,just
Deutschland,Germany
w�hrend,while
Tag,Day
allerdings,Indeed
Kinder,children
daf�r,Therefore
w�re,would
welche,Which
Ende,The End
mein,my
einige,some
Weg,path
jeder,everyone
letzten,last
sehen,see
allen,all
weitere,Further
besonders,especially
zwar,that is
neben,Next
vielen,many
vielleicht,perhaps
beiden,both
Welt,world
ihrem,her
unternehmen,company
wollen,want
liegt,lies
Teil,part
seinem,his
stehen,to stand
bzw.,or.
fast,nearly
Stadt,city
euch,to you
gar,even
sogar,even
geben,give
deutschen,German
m�glich,possible
etwa,approximately
schnell,quickly
Seite,side
gro�en,huge
Frage,question
denen,them
eigentlich,actually
unserer,our
gehen,walk
gute,quality
recht,Law
oft,often
genau,I agree
lange,Long
wenig,little
leider,Unfortunately
hatten,had
davon,from that
Thema,topic
Fall,case
eigenen,own
dir,to you
k�nnte,could
unser,our
gro�e,size
zusammen,together
bietet,offers
besser,better
Frau,woman
m�chte,would like
darauf,thereon
gab,gave
Spiel,game
Art,Art
gleich,equal
Platz,city ??square
Prozent,percent
Beispiel,example
sicher,secure
daher,therefore
wissen,to know
kleinen,small
paar,few
de,de
meiner,mine
kam,came
findet,finds
sagen,say
gerne,gladly
deshalb,for this reason
zur�ck,return
jeden,every
sollten,should
statt,instead of
l�sst,leaves
Liebe,love
richtig,correct
kleine,small
stellen,put
fragen,ask
deren,whose
worden,been
wei�,White
sollen,must
tun,to do
erhalten,Receive
wegen,because of
eher,rather
weniger,fewer
direkt,direct
ebenfalls,Likewise
dar�ber,about it
ging,went
Informationen,information
nie,never
Bereich,area
sp�ter,later
ganze,whole
dich,you
hin,there
warum,why
hab,have
vier,four
nehmen,to take
sieht,sees
geschichte,story
je,ever
Kunden,customers
keinen,none
werde,become
aller,all
kurz,shortly
Geld,money
bekommen,to get
gilt,is applicable
M�glichkeit,opportunity
n�chsten,next
au�erdem,aside from that
Frauen,women
arbeiten,work
bleibt,remain
klar,clear
kaum,hardly
eben,even
meinen,say
wollte,wanted to
Ziel,goal
Berlin,Berlin
zeigt,indicates
Mann,man
Buch,a book
rahmen,frame
konnten,could
besten,best
bitte,You're welcome
somit,Consequently
stand,was standing
sagt,says
darf,may
Entwicklung,development
geh�rt,heard
pro,Per
zudem,in addition
wichtig,important
Internet,Internet
spielen,to play
bieten,Offer
Tage,Days
neu,New
Woche,week
Minuten,Minutes
unseren,our
stellt,represents
Verf�gung,disposal
bisher,until now
deutsche,German
verschiedenen,different
Land,country
guten,good
Ort,location
sch�n,beautiful
gegen�ber,opposite to
solche,such
kosten,costs
Form,shape
weit,far
weiteren,further
Wochen,Weeks
zweiten,second
musste,had to
Haus,a house
dank,thanks to
eigene,own
meisten,most
bleiben,stay
insgesamt,in total
Grund,reason
Problem,problem
besteht,consists
sagte,said
jede,every
nachdem,after this
ebenso,as well
beide,both
anders,different
danach,thereafter
Familie,family
meinem,my
alten,old
bringen,bring
daran,to it
Leute,people
aufgrund,because of
Eltern,parents
gemeinsam,together
sofort,right away
dessen,whose
halten,keep
nutzen,to use
Hand,hand
lesen,read
leicht,easy
anfang,beginning
jedem,each
bekannt,famous
Hilfe,Help
Blick,view
schlie�lich,after all
dadurch,through this
Zukunft,future
Namen,Names
sowohl,either
�berhaupt,at all
unserem,our
zun�chst,next
Stunden,hours
hinter,Behind
hast,have
hei�t,called
Stelle,Job
finde,find
Einsatz,mission
Team,team
trotz,despite
Millionen,millions
insbesondere,in particular
gewesen,been
Musik,music
endlich,Finally
sonst,otherwise
weise,way
per,by
innerhalb,inside
Schule,school
f�nf,five
zeigen,show
fest,fixed
ganzen,entire
f�hren,to lead
f�hrt,leads
Artikel,items
allein,alone
liegen,lie
Personen,people
Mai,May
Seiten,pages
oben,above
trotzdem,Nevertheless
Bilder,pictures
meist,most of time
Film,Movie
obwohl,although
Daten,Data
Erfolg,success
w�rden,would
jedes,each
kind,child
verschiedene,various
Probleme,Problems
neues,new
Gott,God
hinaus,out
mehrere,several
damals,at the time
Preis,price
lernen,to learn
beispielsweise,for example
einzelnen,individual
Gruppe,group
weiterhin,Farther
deine,yours
n�mlich,namely
fand,found
zumindest,at least
Juni,June
Richtung,direction
gesagt,said
hallo,Hello
Gesellschaft,company
mitarbeiter,employees
einigen,some
schwer,heavy
hoch,high
Programm,program
Augen,eyes
welches,which
dennoch,yet
geworden,become
Rolle,role
wert,worth
